Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Date,,,,,
2026-07-13,3997.0,4081.0,3985.89990234375,4081.0,679
2026-07-14,4061.10009765625,4091.199951171875,3986.5,3995.699951171875,1281
2026-07-15,4044.0,4070.10009765625,4019.39990234375,4049.10009765625,374
2026-07-16,3985.60009765625,4030.5,3972.60009765625,4030.5,812
2026-07-17,4012.699951171875,4017.199951171875,3964.199951171875,3975.5,141
2026-07-20,4010.300048828125,4018.89990234375,4002.699951171875,4003.39990234375,231
2026-07-21,4071.10009765625,4071.10009765625,3999.699951171875,4002.10009765625,87
2026-07-22,4146.89990234375,4152.10009765625,4096.2001953125,4096.2001953125,133
2026-07-23,4046.60009765625,4130.89990234375,4046.60009765625,4129.89990234375,59
2026-07-24,4067.60009765625,4068.0,4067.60009765625,4067.60009765625,2
2026-07-27,4074.5,4107.89990234375,4072.699951171875,4090.10009765625,36
2026-07-28,4036.300048828125,4036.300048828125,4025.699951171875,4025.699951171875,248
2026-07-29,4034.699951171875,4034.699951171875,4017.89990234375,4018.10009765625,89664
2026-07-30,4100.10009765625,4118.5,4028.5,4060.699951171875,16985
2026-07-31,4049.10009765625,4102.39990234375,4022.39990234375,4102.39990234375,1166
2026-08-03,4033.699951171875,4083.5,4026.5,4083.39990234375,698
2026-08-04,4095.39990234375,4095.39990234375,4048.800048828125,4050.5,426
2026-08-05,4245.7998046875,4262.2001953125,4129.5,4130.0,1349
2026-08-06,4242.0,4297.0,4228.0,4297.0,3101
2026-08-07,4340.7001953125,4371.5,4274.0,4277.0,422
2026-08-10,4361.7998046875,4390.10009765625,4336.10009765625,4336.10009765625,422
2026-08-11,4429.89990234375,4495.0,4415.7001953125,4446.89990234375,58818
